Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1608084155383824384,"RT @UNDPUkraine : 🇺🇳@UNDP, with funds from @SwedeninUA, supplied @mintsyfra and @MinSocUA with generators and items to set up shelters for the staff during air alerts. It'll support the uninterrupted operation of their teams, who provide services to millions of 🇺🇦citizens ➡https://t.co/qdpoQzqGvo https://t.co/cFIX6e5CjR",Plurigrid 🛸,plurigrid,2022-12-28T12:55:14.000Z,Wed Dec 28 12:55:14 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.undp.org/ukraine/press-releases/undp-supports-ukraine-providing-uninterrupted-social-services-millions-citizens ,0,4,photo,https://pbs.twimg.com/media/FlEKXjDXEAEjJOR.jpg,https://pbs.twimg.com/media/FlEKwG7XwAA8D0k.jpg,https://pbs.twimg.com/media/FlEK2IkWAAMy7VT.jpg,https://pbs.twimg.com/media/FlELBXmWIAAxBRk.jpg
1608080633871437826,Give yourself a gift of at home energy monitoring! 🎁 https://t.co/xwqbFZkXVf,Plurigrid 🛸,plurigrid,2022-12-28T12:41:14.000Z,Wed Dec 28 12:41:14 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/whatisnuclear/status/1607631012779155456 ,0,0,,,,,
1608079881660764163,"RT @doescience : A pinwheel can be a toy - but it can also be a way to build materials with unique properties. @UofIllinois, @UMich &amp; @argonne researchers developed pinwheel-shaped structures that self-assemble from nanoparticles and show a characteristic called chirality: https://t.co/idTcjPx20A https://t.co/HGg5noY54I",Plurigrid 🛸,plurigrid,2022-12-28T12:38:15.000Z,Wed Dec 28 12:38:15 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://news.illinois.edu/view/6367/873954107 ,0,3,photo,https://pbs.twimg.com/media/FlCggJPXkAA_Lq_.jpg,,,
1608079386070204416,Digital Public Goods are great! ⬇️ #DeSci https://t.co/6n4YKrifmc,Plurigrid 🛸,plurigrid,2022-12-28T12:36:16.000Z,Wed Dec 28 12:36:16 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/CERN/status/1608025086396715009 ,1,0,,,,,
1608076638587322368,"Cybernetics for the 21st Century (via @digital_objects) ☸🛸🏴
https://t.co/lV3yF5fr9i",Plurigrid 🛸,plurigrid,2022-12-28T12:25:21.000Z,Wed Dec 28 12:25:21 +0000 2022,1,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://youtube.com/playlist?list=PL_4oTZX7-ML0gxvmivLZea9mnNNxQKI-n ,0,1,,,,,
1608075441583144960,"Social Choice Theory: the study of collective decision procedures &amp; mechanisms. {...} concerning the aggregation of individual inputs (votes, preferences, judgments, welfare) into collective outputs (collective decisions, preferences, judgments, welfare).

https://t.co/8puWg6j8ta https://t.co/qKV0bKFS14",Plurigrid 🛸,plurigrid,2022-12-28T12:20:36.000Z,Wed Dec 28 12:20:36 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://plato.stanford.edu/entries/social-choice/ ,0,0,photo,https://pbs.twimg.com/media/FlEIEowWYAcVnV2.jpg,,,
1608070061415346176,Hear @cwgoes talk about his superhero origins: from converting electricity into mining BTC to allowing for shielded transactions on @namadanetwork ⬇️🎙️⚡️ https://t.co/txToAnLf2f,Plurigrid 🛸,plurigrid,2022-12-28T11:59:13.000Z,Wed Dec 28 11:59:13 +0000 2022,3,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/ownereconomy/status/1608031909656797184 ,0,2,,,,,
1607552887697338370,"jamming with fellow #DWebCamp e-gens on hardware for message-passing security in #gridIBC! ⚡️📮💌

exciting things afoot... 🌲🔋📲🌲🌲

stay warm out there 🌨️ https://t.co/wI7wRlBPz1",Plurigrid 🛸,plurigrid,2022-12-27T01:44:09.000Z,Tue Dec 27 01:44:09 +0000 2022,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/Fk8r1FvWAAIbTXK.jpg,,,
1607545940738449410,https://t.co/dNTBaaVrKC https://t.co/rXZyaIhls7,Plurigrid 🛸,plurigrid,2022-12-27T01:16:33.000Z,Tue Dec 27 01:16:33 +0000 2022,1,0,zxx,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/plurigrid/status/1605862856762593280 ,0,0,photo,https://pbs.twimg.com/media/Fk8mgJaWYAEwPWX.png,,,
1607545434167181312,"🥁⚛️🎊

- Vertical Shaft Construction
- Steel Bricks
- Advanced Monitoring and Digital Twins 👀 https://t.co/9QrP3b0kmg",Plurigrid 🛸,plurigrid,2022-12-27T01:14:32.000Z,Tue Dec 27 01:14:32 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/GovNuclear/status/1607532967236075520 ,0,0,,,,,
